1,0
2,0
3,0
4,0
5,0
6,0
7,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,2
60,14
61,44
62,36
63,42
64,57
65,42
66,44
67,62
68,57
69,62
70,62
71,57
72,64
73,56
74,66
75,54
76,57
77,46
78,66
79,56
80,64
81,57
82,57
83,74
84,70
85,72
86,60
87,72
88,66
89,64
90,70
91,80
92,74
93,64
94,62
95,66
96,66
97,64
98,64
99,62
100,70
101,54
102,62
103,64
104,70
105,74
106,74
107,68
108,60
109,84
110,60
111,68
112,74
113,60
114,74
115,66
116,70
117,74
118,76
119,62
120,52
121,68
122,74
123,72
124,68
125,68
126,60
127,80
128,70
129,76
130,57
131,80
132,76
133,72
134,66
135,82
136,76
137,74
138,68
139,66
140,72
141,80
142,74
143,82
144,72
145,68
146,72
147,60
148,72
149,64
150,78
151,78
152,86
153,84
154,78
155,94
156,82
157,76
158,62
159,66
160,72
161,76
162,68
163,72
164,78
165,84
166,82
167,76
168,72
169,82
170,80
171,76
172,70
173,76
174,72
175,74
176,82
177,90
178,78
179,76
180,70
181,82
182,76
183,84
184,86
185,86
186,82
187,80
188,84
189,82
190,82
191,82
192,84
193,84
194,74
195,84
196,76
197,86
198,86
199,86
200,72
